url,estado,fecha,mensaje
https://www.google.com/maps/place/La+Toscana+Restaurante/data=!4m7!3m6!1s0x960a3232cf948d81:0xcc9ec3e9f52a5a00!8m2!3d-38.95991!4d-68.0618849!16s%2Fg%2F1tf66p1j!19sChIJgY2UzzIyCpYRAFoq9enDnsw?authuser=0&hl=en&rclk=1,EXITO,2026-01-07 19:05:36,"Nuevas: 500, Duplicadas: 0"
https://www.google.com/maps/place/Bouquet+de+r%C3%AAves/data=!4m7!3m6!1s0x960a33c9a792bed7:0x474f1253743fdf15!8m2!3d-38.9530075!4d-68.0631335!16s%2Fg%2F11c1lmld86!19sChIJ176Sp8kzCpYRFd8_dFMST0c?authuser=0&hl=en&rclk=1,EXITO,2026-01-07 19:07:41,"Nuevas: 500, Duplicadas: 0"
https://www.google.com/maps/place/El+Mes%C3%B3n+Restaurante/data=!4m7!3m6!1s0x960a33151e5dec81:0xcbf637d875772b24!8m2!3d-38.9504218!4d-68.0579953!16s%2Fg%2F11pcshgbx2!19sChIJgexdHhUzCpYRJCt3ddg39ss?authuser=0&hl=en&rclk=1,SIN_OPINIONES,2026-01-07 19:08:34,No tiene pestaña de Opiniones
https://www.google.com/maps/place/Sure%C3%B1a+Restaurante/data=!4m7!3m6!1s0x960a33f92e542d97:0xa96ce0e13611ca4d!8m2!3d-38.9505793!4d-68.0632332!16s%2Fg%2F11y6bqhqv6!19sChIJly1ULvkzCpYRTcoRNuHgbKk?authuser=0&hl=en&rclk=1,EXITO,2026-01-07 19:09:19,"Nuevas: 162, Duplicadas: 0"
https://www.google.com/maps/place/Patagonia+Garage/data=!4m7!3m6!1s0x960a33002283a689:0x7e9e34e26849d3d0!8m2!3d-38.9476343!4d-68.0667226!16s%2Fg%2F11wqjl0tv3!19sChIJiaaDIgAzCpYR0NNJaOI0nn4?authuser=0&hl=en&rclk=1,SIN_OPINIONES,2026-01-07 19:10:13,No tiene pestaña de Opiniones
https://www.google.com/maps/place/Bravo+del+Mar+y+la+Tierra/data=!4m7!3m6!1s0x960a33fa548e8553:0x22d144540d70a2c1!8m2!3d-38.9467216!4d-68.0637268!16s%2Fg%2F11yh2xyycy!19sChIJU4WOVPozCpYRwaJwDVRE0SI?authuser=0&hl=en&rclk=1,SIN_OPINIONES,2026-01-07 19:11:06,No tiene pestaña de Opiniones
https://www.google.com/maps/place/El+Asador/data=!4m7!3m6!1s0x960a3180918c8bab:0x2fe600f23331ff86!8m2!3d-38.9594917!4d-68.0466614!16s%2Fg%2F1hc290l5f!19sChIJq4uMkYAxCpYRhv8xM_IA5i8?authuser=0&hl=en&rclk=1,SIN_OPINIONES,2026-01-07 19:11:58,No tiene pestaña de Opiniones
https://www.google.com/maps/place/Ruby+Martnez/data=!4m7!3m6!1s0x960a330d5e444eb7:0x2aa0ad7a63f54cb3!8m2!3d-38.9541683!4d-68.0546023!16s%2Fg%2F11hd9ky1y5!19sChIJt05EXg0zCpYRs0z1Y3qtoCo?authuser=0&hl=en&rclk=1,EXITO,2026-01-07 19:12:23,"Nuevas: 123, Duplicadas: 0"
https://www.google.com/maps/place/Distrito+Nqn+Parrilla+Argentina/data=!4m7!3m6!1s0x960a337149c79cff:0x7ef7734780cb59!8m2!3d-38.9416246!4d-68.0641839!16s%2Fg%2F11fv7802gd!19sChIJ_5zHSXEzCpYRWcuAR3P3fgA?authuser=0&hl=en&rclk=1,SIN_OPINIONES,2026-01-07 19:13:15,No tiene pestaña de Opiniones
https://www.google.com/maps/place/Bamb%C3%BA+Canting/data=!4m7!3m6!1s0x960a33cb8745168b:0x9316fe882ad406d!8m2!3d-38.9572463!4d-68.0657037!16s%2Fg%2F1hc4wq4g5!19sChIJixZFh8szCpYRbUCtguhvMQk?authuser=0&hl=en&rclk=1,EXITO,2026-01-07 19:15:20,"Nuevas: 500, Duplicadas: 0"
https://www.google.com/maps/place/EL+BARRILITO+-+COMIDA+CASERA/data=!4m7!3m6!1s0x960a3334f8793a85:0x9060165ce8c3b69d!8m2!3d-38.9579748!4d-68.1391289!16s%2Fg%2F11bbrhvpnj!19sChIJhTp5-DQzCpYRnbbD6FwWYJA?authuser=0&hl=en&rclk=1,EXITO,2026-01-07 19:15:34,"Nuevas: 41, Duplicadas: 0"
https://www.google.com/maps/place/Buenos+Caprichos/data=!4m7!3m6!1s0x960a3335a7826929:0x988f06b7378fb7e0!8m2!3d-38.9569443!4d-68.1398913!16s%2Fg%2F1hc1rxh3s!19sChIJKWmCpzUzCpYR4LePN7cGj5g?authuser=0&hl=en&rclk=1,EXITO,2026-01-07 19:16:20,"Nuevas: 325, Duplicadas: 0"
https://www.google.com/maps/place/Asado+Sabores+Entre+Fuegos+Parrilla/data=!4m7!3m6!1s0x960a330072b92273:0x7ddc75f16c5ddb6a!8m2!3d-38.9462392!4d-68.0744376!16s%2Fg%2F11w3533hdm!19sChIJcyK5cgAzCpYRattdbPF13H0?authuser=0&hl=en&rclk=1,SIN_OPINIONES,2026-01-07 19:17:12,No tiene pestaña de Opiniones
https://www.google.com/maps/place/Parripollo+LA+FAMILIA/data=!4m7!3m6!1s0x960a33a153eccec9:0x5606138078fd349c!8m2!3d-38.9496255!4d-68.0899169!16s%2Fg%2F11b73q_2f1!19sChIJyc7sU6EzCpYRnDT9eIATBlY?authuser=0&hl=en&rclk=1,SIN_OPINIONES,2026-01-07 19:18:04,No tiene pestaña de Opiniones
